,prefix,baseline,emotion_happy,emotion_important,likert,name,opinion,please_opinion,please_respond,respond,truth
1,falcon-40b-instruct,-0.0471264367816092,-0.10605364989834065,-0.12518772577830092,-0.13704491366651472,-0.20793686082703422,-0.18362671607849745,-0.162609819121447,-0.24434882386689616,-0.24647929525978307,-0.08956213447231412
2,gpt-3.5-turbo-0125,-0.25610632183908044,-0.4423121010654343,-0.23778618046203254,-0.4524968394437421,-0.4289585892895859,-0.5121804995028367,-0.5048309178743962,-0.6102716727716728,-0.6428428428428428,-0.30495641194174417
3,gpt-4,-0.05244922341696537,-0.04414238611129803,-0.06166468666468666,-0.33018018018018014,-0.1289664413179853,-0.03441882307218966,-0.02811327392120075,-0.15155290718671,-0.29339218758744195,-0.07452380952380952
4,llama-2-13b-chat-hf,-0.3137619001427324,-0.3100764070739319,-0.22832279889610968,-0.5158684026970471,-0.26049795615013005,-0.42117091006376245,-0.32920498084291183,-0.46030055219061083,-0.44798070189090344,-0.30338299193047796
5,llama-2-13b-hf,0.09090909090909088,-0.2714285714285714,0.038461538461538436,-0.025000000000000022,0.00162337662337661,-0.09013429752066116,-0.10495689655172413,-0.09759481961147085,-0.02034358047016277,0.1636904761904762
6,llama-2-7b-chat-hf,-0.4287808641975309,-0.2710967993754879,-0.23140693598746306,-0.3030900149966868,-0.4223586469396525,-0.3531936637710782,-0.27234848484848484,-0.4943264474832703,-0.5645208400268715,-0.3351415782815997
7,llama-2-7b-hf,0.15,0.20833333333333331,0.125,-0.20833333333333331,-0.051282051282051266,-0.07173913043478261,-0.012237762237762267,0.3214285714285714,-0.18253968253968256,-0.07843137254901963
8,mistral-7b-instruct-v0.1,-0.31130471738206544,-0.31393939393939396,-0.3106094695265237,-0.28201698873941466,-0.3344210687960688,-0.3672519395671702,-0.3246336996336996,-0.33193565228741106,-0.3959246152117739,-0.27494352409638556
9,mistral-7b-v0.1,0.18428184281842816,-0.10426229508196724,-0.18559218559218557,0.061326658322903654,-0.06328671328671326,0.05771396396396397,-0.1943972835314092,-0.15324675324675321,-0.11251967127120124,-0.007038288288288286
10,falcon-7b-instruct,-0.10344827586206896,-0.17195277741068674,-0.2309656823623304,-0.08993667289112608,-0.20720783182650176,-0.19518353986439094,-0.19963398231649504,-0.25665450013353514,-0.2800897592819257,-0.29962486168461394
11,falcon-7b,-0.24384236453201966,-0.08531746031746032,0.03935185185185186,-0.20833333333333331,0.027500000000000024,0.0267857142857143,-0.04999999999999999,-0.06521739130434784,-0.1832579185520362,0.0003373819163292602
